date,listing_id,reviewer_name,comments
2018-09-16T04:00:00.000Z,27498126,Sébastien,"Lovely and friendly people, close to National Park. Great communication."
2015-04-08T04:00:00.000Z,5461928,Gail,"Stephanie is a delightful,thoughtful and generous host. She was prompt in responding to questions and left her home in a welcoming manner. The cottage is delightful,comfortable and we thoroughly enjoyed our stay there. Glebe is just wonderful with lots of atmosphere and close to many of Sydney's highlights.This was our first foray into Airbnb and we are hooked! It was an excellent initiation and no doubt a hard act to follow!I thoroughly recommend Stephanie and her cottage and Glebe. I hope that I can stay there again."
2015-07-13T04:00:00.000Z,5461928,Claire,"Stephanie is an excellent host and her house is lovely.  It was perfectly ready for us when we arrived, Stephanie communicated well with us throughout the booking and arrival process, and her instructions for using the facilities were clear and easy to follow.The house is in a wonderful location, close to Sydney University and Glebe Point Road.  Staying there was thoroughly enjoyable as the house was in perfect order and the kitchen was well appointed.  The view out to the back garden was an added bonus."
2015-07-21T04:00:00.000Z,5461928,Paige,We had the best time & that was due to Stephanie's home & how at ease she made us feel. It was just like home away from home & Glebe is a beautiful suburb.
2015-08-24T04:00:00.000Z,5461928,Colleen,"The house was clean, beautiful and had a lot of character. Steph is warm and professional, and we had no issues with any of the amenities or access during our short stay. Highly recommend this place!"
2015-10-06T04:00:00.000Z,5461928,Roberto,"We had a great stay at Stephanie's house.A walking distance from cafes, groceries stores and other amenities came in very handy. The apartment is very well kept and very clean. It has a cozy flavour as well."
2015-12-01T05:00:00.000Z,5461928,Melissa,"Highly recommended! Stephanie was a gracious host and her home was an inner city delight. Great location within walking distance to Sydney Uni and the restaurants and bars of Glebe, her home was comfortable and well appointed. A great experience! "
2017-08-06T04:00:00.000Z,19348489,Mehrab,"We stayed in Isabelle's apartment for one month. We found Isabelle hospitable and thoughtful. Her beautiful studio was so clean and we enjoyed its amazing sunlight, great view and location (close to open spaces, CBD, cafes and restaurants). In short, this experience increased our expectations regarding a place to stay in Sydney!"
2018-01-07T05:00:00.000Z,19348489,Felix,"We love the studio. Very comfortable, clean and convenient to major tourist locations. Isabelle answers all questions promptly and is very accommodating. We highly recommend stating here."
2018-01-28T05:00:00.000Z,19348489,Felix,"Great location. Both residential and touristy with many shops around. We could walk nearly everywhere and if we were tired the train and buses are right near the house. Make sure to have coffee at La Douce France right near the house. The studio is very comfortable, sunny and fully equipped."
